pp,psoe,distrito,seccion,cod_muni,total_votes,tract_code,share_pp,share_psoe
177,90,02,014,005,435,2800502014,0.4068965517241379,0.20689655172413793
121,90,02,015,005,330,2800502015,0.36666666666666664,0.2727272727272727
131,61,02,016,005,333,2800502016,0.3933933933933934,0.1831831831831832
112,85,02,016,005,315,2800502016,0.35555555555555557,0.2698412698412698
155,134,02,017,005,481,2800502017,0.32224532224532226,0.2785862785862786
176,122,02,018,005,486,2800502018,0.36213991769547327,0.25102880658436216
172,102,02,018,005,442,2800502018,0.3891402714932127,0.23076923076923078
158,127,02,019,005,454,2800502019,0.34801762114537443,0.27973568281938327
185,147,02,019,005,499,2800502019,0.37074148296593185,0.29458917835671344
176,104,02,020,005,473,2800502020,0.37209302325581395,0.21987315010570824
193,89,02,020,005,438,2800502020,0.4406392694063927,0.20319634703196346
129,85,02,021,005,376,2800502021,0.34308510638297873,0.22606382978723405
118,86,02,021,005,357,2800502021,0.33053221288515405,0.24089635854341737
104,70,02,022,005,294,2800502022,0.35374149659863946,0.23809523809523808
100,62,02,022,005,274,2800502022,0.36496350364963503,0.22627737226277372
160,136,02,023,005,446,2800502023,0.35874439461883406,0.30493273542600896
108,101,02,024,005,310,2800502024,0.34838709677419355,0.3258064516129032
124,92,02,024,005,356,2800502024,0.34831460674157305,0.25842696629213485
113,76,02,025,005,315,2800502025,0.35873015873015873,0.24126984126984127
145,89,02,025,005,364,2800502025,0.3983516483516483,0.2445054945054945
188,93,02,026,005,445,2800502026,0.42247191011235957,0.20898876404494382
162,105,02,026,005,422,2800502026,0.38388625592417064,0.24881516587677724
128,93,02,027,005,379,2800502027,0.33773087071240104,0.24538258575197888
138,69,02,027,005,353,2800502027,0.3909348441926346,0.1954674220963173
217,125,02,028,005,598,2800502028,0.362876254180602,0.20903010033444816
237,113,02,028,005,567,2800502028,0.41798941798941797,0.19929453262786595
191,91,02,029,005,484,2800502029,0.39462809917355374,0.18801652892561985
189,105,02,029,005,503,2800502029,0.3757455268389662,0.20874751491053678
190,109,02,030,005,456,2800502030,0.4166666666666667,0.23903508771929824
281,127,02,031,005,643,2800502031,0.4370139968895801,0.19751166407465007
222,99,02,031,005,555,2800502031,0.4,0.1783783783783784
167,88,02,032,005,396,2800502032,0.4217171717171717,0.2222222222222222
156,81,02,032,005,372,2800502032,0.41935483870967744,0.21774193548387097
